hspt_name,url,depth,text,date
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=37&target=885&cate_no=0&cate_code=&board_style=view,1,"세흥병원/ 
				¾öÁö¹ßÅé ÁÖÀ§¿¡ °í¸§ÀÌ »ı°Ü¿ä								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=37&target=886&cate_no=0&cate_code=&board_style=view,1,"세흥병원/ 
				³»Çâ¼º ¹ßÅéÀÇ Áõ»óÀÎ°Í °°½À´Ï´Ù.								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=37&target=806&cate_no=0&cate_code=&board_style=view,1,"세흥병원/ 
				°ß°üÀı ¿Í¼ø ÆÄ¿­ ¼ö¼ú ¹Ì·ç¸é ¾î¶»°Ô....								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=37&target=778&cate_no=0&cate_code=&board_style=view,1,"세흥병원/ 
				°üÀı ¿¬°ñ ¼Õ»ó¿¡ ´ëÇÑ ¹®ÀÇ								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=37&target=779&cate_no=0&cate_code=&board_style=view,1,"세흥병원/ 
				Áú¹®ÇÏ½Å ³»¿ëÀº È¯ÀÚºĞ²² Á÷Á¢ ÀüÈ­µå·Á¼­ Ä£ÀıÇÏ°Ô ¾Ë·Áµå¸®µµ·Ï ÇÏ°Ú½À..								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=37&target=772&cate_no=0&cate_code=&board_style=view,1,"세흥병원/ 
				Áú¹®ÇÏ½Å ³»¿ëÀº È¯ÀÚºĞ²² Á÷Á¢ ÀüÈ­µå·Á Ä£ÀıÇÏ¼¼ ¼³¸íµå¸®°Ú½À´Ï´Ù.								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=37&target=759&cate_no=0&cate_code=&board_style=view,1,"세흥병원/ 
				Áú¹®ÇÏ½Å ³»¿ëÀº È¯ÀÚºĞ²² Á÷Á¢ ÀüÈ­µå·Á¼­ Ä£ÀıÇÏ°Ô ¾Ë·Áµå¸®µµ·Ï ÇÏ°Ú½À..								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=37&target=750&cate_no=0&cate_code=&board_style=view,1,"세흥병원/ 
				¹«Ç÷¼º±«»ç¿¡ ´ëÇØ¼­ ±Ã±İÇÕ´Ï´Ù.				 ",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=37&target=751&cate_no=0&cate_code=&board_style=view,1,"세흥병원/ 
				¹«Ç÷¼º±«»ç°ü·Ã								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=37&target=748&cate_no=0&cate_code=&board_style=view,1,"세흥병원/ 
				°¨»çÇÕ´Ï´Ù.								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=37&target=693&cate_no=0&cate_code=&board_style=view,1,"세흥병원/ 
				³»Çâ¼º ¹ßÅé¿¡ °üÇÑ ´äº¯								",200326
세흥병원,http://www.sehunghospital.co.kr/sub_board/board_pds.php?menu=&clone=37&target=634&cate_no=2&cate_code=&board_style=view,1,"세흥병원/ 
				¸ŞÀÏ·Î ´äº¯À» ³²°å½À´Ï´Ù.								",200326
